timestamp,driver_id,vehicle_id,brand,car_name,battery_capacity_kwh,max_range_km,vehicle_weight_kg,motor_power_kw,running_mode,trip_distance_km,trip_duration_hr,income_generated,avg_speed_kmph,max_speed_kmph,overspeed_events,hard_braking_events,rapid_acceleration_events,idle_time_minutes,weather_condition,traffic_density,ambient_temperature,soc_start_pct,soc_end_pct,battery_temperature,battery_cycles,battery_health_pct,energy_consumed_kwh,odometer_km,brake_wear_pct,suspension_health_pct,days_since_last_service,vehicle_condition,vehicle_active
1/1/2024 0:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,10.47,0.53,189.01,48,72,0,1,1,19,Cloudy,Medium,19,73,70,18,604,82.4,1.628,15237.5,10.19,93.88,61,1,1
1/1/2024 2:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,1,115.5,1.67,2177.73,76,102,1,2,0,9,Clear,Medium,18,84,60,22.4,604,82.4,18.131,15353,10.31,93.82,61,1,1
1/1/2024 4:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,1,122.25,1.7,2242.69,74,100,0,0,1,3,Clear,Low,17,77,52,24.8,604,82.4,18.814,15475.2,10.36,93.81,61,1,1
1/1/2024 6:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,53.61,1.82,1031.64,44,88,0,1,0,36,Clear,Medium,13,73,61,18,604,82.4,8.685,15528.8,10.42,93.77,61,1,1
1/1/2024 8:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,23.88,1.21,311.37,37,67,0,1,0,34,Clear,Medium,15,63,57,18,604,82.4,3.869,15552.7,10.46,93.75,61,1,1
1/1/2024 10:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,1,116.45,2.25,1217.96,55,105,1,1,1,8,Cloudy,Low,14,70,47,22,604,82.4,17.549,15669.2,10.54,93.71,61,1,1
1/1/2024 12:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,60.07,2.16,707.22,37,89,0,0,1,32,Clear,Low,13,71,58,18,604,82.4,9.731,15729.2,10.57,93.7,61,1,1
1/1/2024 14:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,38.42,1.23,549.02,38,102,0,1,1,13,Clear,Medium,30,86,77,18,604,82.39,6.224,15767.6,10.62,93.67,61,1,1
1/1/2024 16:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,0,29.22,1.14,539.05,51,76,0,0,2,34,Rain,Medium,18,62,56,18,604,82.39,4.26,15796.9,10.63,93.67,61,1,1
1/1/2024 18:00,D001,VH001,Volkswagen,ID.4,77,520,2100,150,1,72.25,1.09,1317.88,77,103,0,0,0,9,Clear,Medium,23,88,73,20.5,604,82.39,11.119,15869.1,10.65,93.66,61,1,1
